,Mobile devices,,,All devices,,,Mobile devices,,,All devices,,
Report Date,Stuff UB,NZH UB,Stuff - NZH UB,Stuff UB,NZH UB,Stuff - NZH UB,Stuff PI,NZH PI,Stuff - NZH PI,Stuff PI,NZH PI,Stuff - NZH PI
27-Jan-19,726660,662542,64118,923249,879637,43612,2736868,1855586,881282,4891472,3141740,1749732
28-Jan-19,921522,787315,134207,1157986,1037209,120777,2829846,2022512,807334,5065759,3310866,1754893
29-Jan-19,849697,796918,52779,1048668,1011977,36691,3165607,2312951,852656,6514267,4053363,2460904
30-Jan-19,766956,750150,16806,956442,989171,-32729,2953099,2192960,760139,6508493,4386137,2122356
31-Jan-19,785399,733074,52325,990591,1064380,-73789,2763573,2156222,607351,6123020,4332146,1790874
1-Feb-19,749065,740646,8419,931396,945482,-14086,2810808,2084041,726767,6182267,4200003,1982264
2-Feb-19,666065,658822,7243,846561,850695,-4134,2674610,2047118,627492,5830009,4013586,1816423
3-Feb-19,759627,713584,46043,942178,922698,19480,2498723,1967424,531299,4531732,3304162,1227570
4-Feb-19,769862,653211,116651,969239,872658,96581,2994606,2129625,864981,5322444,3516960,1805484
5-Feb-19,770008,642229,127779,953289,822853,130436,2786214,1857190,929024,6114743,3907081,2207662
6-Feb-19,801666,653357,148309,967690,811720,155970,2791469,1881054,910415,6113666,3915426,2198240
7-Feb-19,759996,714673,45323,928241,886234,42007,3126065,2020996,1105069,5709864,3482336,2227528
8-Feb-19,796172,693827,102345,960378,860757,99621,2688929,2060357,628572,5922706,4191030,1731676
9-Feb-19,746941,637165,109776,896280,800378,95902,2950674,1911221,1039453,6281602,3868884,2412718
10-Feb-19,804521,691922,112599,996227,899369,96858,2882951,1845511,1037440,5144837,3147449,1997388
11-Feb-19,746450,709820,36630,939073,936327,2746,3154039,1984973,1169066,5586043,3309057,2276986
12-Feb-19,707489,657502,49987,911740,857301,54439,2682747,1882571,800176,5959438,3888703,2070735
13-Feb-19,714377,690424,23953,889223,907366,-18143,2602940,1805590,797350,5828816,3827913,2000903
14-Feb-19,727217,581901,145316,893832,740337,153495,2545658,1871027,674631,5655452,3771922,1883530
15-Feb-19,716798,623004,93794,871665,786315,85350,2522676,1655751,866925,5629196,3555030,2074166
16-Feb-19,730970,576142,154828,888175,743861,144314,2499387,1742082,757305,5541541,3658038,1883503
17-Feb-19,799088,675542,123546,993370,938111,55259,2610661,1701990,908671,4620164,2865262,1754902
18-Feb-19,749207,689834,59373,957115,959479,-2364,3004835,1871383,1133452,5243594,3063845,2179749
19-Feb-19,780090,710559,69531,986475,921141,65334,2613726,1903459,710267,5936493,3966371,1970122
20-Feb-19,745760,743456,2304,964635,980144,-15509,2631474,1862696,768778,5834525,3855249,1979276
21-Feb-19,712998,695005,17993,910217,896245,13972,2598435,1911506,686929,5817290,3922862,1894428
22-Feb-19,743159,674251,68908,984912,853176,131736,2532743,1879541,653202,5745515,3899972,1845543
23-Feb-19,684249,607960,76289,924430,780420,144010,2611760,1789317,822443,5728181,3672961,2055220
24-Feb-19,757996,680533,77463,942988,874534,68454,2510404,1733141,777263,4508982,2966218,1542764
25-Feb-19,713755,646862,66893,913943,850492,63451,2982809,1889882,1092927,5362864,3141039,2221825
26-Feb-19,780965,719511,61454,990746,942792,47954,2567821,1794967,772854,5914160,3864071,2050089
27-Feb-19,745009,641231,103778,969613,804218,165395,2675484,1937519,737965,5944066,4044301,1899765
28-Feb-19,739832,696234,43598,894204,916148,-21944,2589581,1740355,849226,5803368,3659401,2143967
1-Mar-19,716147,609033,107114,885880,814337,71543,2565346,1787281,778065,5723020,3638422,2084598
2-Mar-19,710130,588729,121401,894531,771322,123209,2396960,1624722,772238,5237352,3395989,1841363
3-Mar-19,835368,638069,197299,1029010,815343,213667,2557459,1696410,861049,4468966,2857278,1611688
